PID,item,similarity,apriori_faktor,aposteriori_faktor
1675,BB1_SH1,0.3101958170924715,BB,SH
1676,BB1_SH1,0.490633061601098,BB,SH
1677,BB1_SH1,0.47989132922132754,BB,SH
1680,BB1_SH1,0.47017706034174994,BB,SH
1683,BB1_SH1,0.5074331450228808,BB,SH
1685,BB1_SH1,0.4555727339903912,BB,SH
1686,BB1_SH1,0.5268410902670206,BB,SH
1687,BB1_SH1,0.5120478165782868,BB,SH
1688,BB1_SH1,0.623264930894944,BB,SH
1691,BB1_SH1,0.4128677845138384,BB,SH
1693,BB1_SH1,0.5017156253399889,BB,SH
1694,BB1_SH1,0.6532851698214345,BB,SH
1697,BB1_SH1,0.6619032421491499,BB,SH
1699,BB1_SH1,0.5487769789741559,BB,SH
1701,BB1_SH1,0.4439753195048503,BB,SH
1702,BB1_SH1,0.5489109125232003,BB,SH
1704,BB1_SH1,0.47979573840940537,BB,SH
1705,BB1_SH1,0.6180810573989995,BB,SH
1706,BB1_SH1,0.5242397353211151,BB,SH
1712,BB1_SH1,0.516014544087433,BB,SH
1713,BB1_SH1,0.38330005008704254,BB,SH
1717,BB1_SH1,0.4532524208462692,BB,SH
1718,BB1_SH1,0.3854895965586177,BB,SH
1720,BB1_SH1,0.6025321142036,BB,SH
1721,BB1_SH1,0.5309243133463316,BB,SH
1723,BB1_SH1,0.34388869071333683,BB,SH
1724,BB1_SH1,0.43904493557167473,BB,SH
1729,BB1_SH1,0.47962772808900644,BB,SH
1731,BB1_SH1,0.5779200022492588,BB,SH
1733,BB1_SH1,0.1455663721367205,BB,SH
1734,BB1_SH1,0.4443377162159815,BB,SH
1736,BB1_SH1,0.41541323316898965,BB,SH
1741,BB1_SH1,0.5866727692201317,BB,SH
1742,BB1_SH1,0.542849719894169,BB,SH
1743,BB1_SH1,0.46639601614593396,BB,SH
1747,BB1_SH1,0.6013846428941336,BB,SH
1751,BB1_SH1,0.37258425271883855,BB,SH
1753,BB1_SH1,0.45073358127927954,BB,SH
1754,BB1_SH1,0.6491160203053716,BB,SH
1759,BB1_SH1,0.4721186940910937,BB,SH
1760,BB1_SH1,0.6273009273297198,BB,SH
1762,BB1_SH1,0.5842693907804476,BB,SH
1763,BB1_SH1,0.4715485230215044,BB,SH
1764,BB1_SH1,0.507596375297043,BB,SH
1767,BB1_SH1,0.5390493323797161,BB,SH
1768,BB1_SH1,0.2792832051022016,BB,SH
1769,BB1_SH1,0.5511042849414266,BB,SH
1770,BB1_SH1,0.5166987246763004,BB,SH
1771,BB1_SH1,0.5542003937563416,BB,SH
1772,BB1_SH1,0.48841330146826617,BB,SH
1774,BB1_SH1,0.46671383927460264,BB,SH
1775,BB1_SH1,0.4608608071055954,BB,SH
1776,BB1_SH1,0.47410533295157525,BB,SH
1777,BB1_SH1,0.6021347510941125,BB,SH
1781,BB1_SH1,0.3946690876686851,BB,SH
1785,BB1_SH1,0.35196084577507264,BB,SH
1786,BB1_SH1,0.4892596631558319,BB,SH
1789,BB1_SH1,0.5556251871392609,BB,SH
1791,BB1_SH1,0.5889084064075204,BB,SH
1793,BB1_SH1,0.6016605684049874,BB,SH
1795,BB1_SH1,0.4898806003061842,BB,SH
1800,BB1_SH1,0.49582829546604423,BB,SH
1803,BB1_SH1,0.5366510276049004,BB,SH
1811,BB1_SH1,0.3708210693094659,BB,SH
1812,BB1_SH1,0.5550804080085755,BB,SH
1813,BB1_SH1,0.4945990084678125,BB,SH
1819,BB1_SH1,0.4310539960027165,BB,SH
1821,BB1_SH1,0.5262842555012969,BB,SH
1822,BB1_SH1,0.5899209033073279,BB,SH
1826,BB1_SH1,0.44588176756566167,BB,SH
1829,BB1_SH1,0.516924281204948,BB,SH
1830,BB1_SH1,0.48561009243175896,BB,SH
1831,BB1_SH1,0.4746803327137791,BB,SH
1832,BB1_SH1,0.5393838651069708,BB,SH
1833,BB1_SH1,0.559106191587106,BB,SH
1835,BB1_SH1,0.514537594887565,BB,SH
1838,BB1_SH1,0.6412200530751824,BB,SH
1839,BB1_SH1,0.505443591090889,BB,SH
1843,BB1_SH1,0.47839026539230045,BB,SH
1847,BB1_SH1,0.5656312451512204,BB,SH
1849,BB1_SH1,0.5249807078000472,BB,SH
1850,BB1_SH1,0.6542510786199885,BB,SH
1854,BB1_SH1,0.5793516676935011,BB,SH
1855,BB1_SH1,0.4741697474395636,BB,SH
1856,BB1_SH1,0.4395553920507672,BB,SH
1859,BB1_SH1,0.4148965081297899,BB,SH
1860,BB1_SH1,0.3322134492795599,BB,SH
1864,BB1_SH1,0.5477287381778149,BB,SH
1865,BB1_SH1,0.5775705085386533,BB,SH
